season,team,sos
2007,Houghton ,5.7
2007,Goucher ,5.7
2007,GA Southern ,5.6
2007,Wofford ,5.6
2007,Wesley College ,5.5
2007,UMKC ,5.5
2007,UCSB ,5.4
2007,Fairfield ,5.4
2007,St. Andrews Presbyterian ,5.4
2007,Austin College ,5.4
2007,Albany ,5.4
2007,Texas-Tyler ,5.4
2007,Georgia St ,5.4
2007,S Utah ,5.3
2007,Montana ,5.2
2007,NC-Asheville ,5.2
2007,NW State ,5.1
2007,Waldorf ,5.1
2007,Centenary ,5.1
2007,Yale ,5.1
2007,Covenant ,5.0
2007,Reinhardt ,5.0
2007,Florida Memorial ,5.0
2007, ,5.0
2007, ,4.9
2007,Middle Tenn ,4.9
2007,St. Leo ,4.9
2007,Texas-Dallas ,4.9
2007,Tiffin ,4.9
2007,Wm & Mary ,4.9
2007,Vermont ,4.9
2007,Delaware ,4.9
2007,American ,4.8
2007,James Mad ,4.8
2007,Belmont ,4.7
2007,Boston U ,4.7
2007,Mercy ,4.7
2007, ,4.7
2007, ,4.7
2007,Weber State ,4.7
2007,Brown ,4.6
2007,Portland St ,4.6
2007,Cal Poly ,4.6
2007,NC-Pembroke ,4.6
2007,Utah Val St ,4.6
2007,Marist ,4.6
2007,Nicholls St ,4.5
2007,Albany State (GA) ,4.5
2007,Edward Waters ,4.5
2007,Southern Virginia ,4.5
2007,S Alabama ,4.5
2007,UC Davis ,4.5
2007,La Salle ,4.4
2007,TN Tech ,4.3
2007,Cal St Nrdge ,4.3
2007,Central Methodist ,4.3
2007,Lehigh ,4.3
2007,Liberty ,4.3
2007,Shawnee State ,4.3
2007,St Bonavent ,4.3
2007,Harvard ,4.3
2007,IPFW ,4.1
2007,Newberry ,4.1
2007,Pacific Lutheran ,4.1
2007,Siena ,4.1
2007,CS Fullerton ,4.1
2007,Washington College ,4.0
2007,Lewis & Clark ,4.0
2007,Michigan Tech ,4.0
2007,Radford ,3.9
2007,Maryland BC ,3.9
2007,LA Lafayette ,3.9
2007,Lamar ,3.9
2007,Cornell ,3.9
2007,Montana St ,3.9
2007,Texas College ,3.9
2007,Sacred Hrt ,3.8
2007,Asbury College ,3.8
2007,Troy ,3.8
2007,Princeton ,3.8
2007,Cal Maritime ,3.8
2007,Samford ,3.7
2007,Citadel ,3.7
2007,University of the Ozarks ,3.7
2007, ,3.7
2007,Spring Hill ,3.7
2007,High Point ,3.6
2007,Ouachita Baptist ,3.6
2007,Hartford ,3.6
2007,Niagara ,3.6
2007,Vanguard ,3.5
2007,Loyola-MD ,3.5
2007,Mars Hill ,3.5
2007,Canisius ,3.5
2007,Hope ,3.5
2007,Colgate ,3.5
2007,Austin Peay ,3.4
2007,Mt St Marys ,3.4
2007,Sac State ,3.4
2007,Army ,3.4
2007,Lafayette ,3.4
2007,IU-SouthBend ,3.3
2007,Arkansas St ,3.3
2007,Louisiana College ,3.3
2007,Lipscomb ,3.3
2007,Marywood ,3.2
2007,Iona ,3.2
2007,AR Lit Rock ,3.2
2007,Ste F Austin ,3.1
2007,N Hampshire ,3.1
2007,Colorado Christian ,3.1
2007,E Tenn St ,3.1
2007,Culver-Stockton ,3.1
2007,NC Central ,3.1
2007,Ohio Valley ,3.1
2007,Navy ,3.0
2007,Fla Atlantic ,3.0
2007,SE Louisiana ,3.0
2007,VA Military ,3.0
2007,St Fran (NY) ,3.0
2007,Manhattan ,3.0
2007,Gard-Webb ,3.0
2007,New Orleans ,3.0
2007,E Kentucky ,3.0
2007,North Texas ,3.0
2007,Rider ,2.9
2007,Monmouth ,2.9
2007,N Colorado ,2.8
2007,Murray St ,2.8
2007,Maine ,2.8
2007,Coastal Car ,2.7
2007, ,2.7
2007,Stony Brook ,2.7
2007,Henderson St ,2.7
2007,McNeese St ,2.7
2007,UC Riverside ,2.6
2007,TX-Arlington ,2.5
2007,Dartmouth ,2.5
2007,Tougaloo ,2.4
2007,Central Conn ,2.4
2007, ,2.4
2007,William Jessup ,2.4
2007,Texas-Permian Basin ,2.4
2007,Columbia ,2.4
2007,F Dickinson ,2.3
2007,Texas A&M - International ,2.3
2007,Binghamton ,2.3
2007,S Dakota St ,2.3
2007, ,2.3
2007,Union College - NY ,2.3
2007,TN State ,2.3
2007,W Illinois ,2.3
2007,Delaware St ,2.2
2007,Coker ,2.2
2007,Franklin Pierce College ,2.1
2007,SE Missouri ,2.0
2007,Charl South ,2.0
2007,Lees-McRae ,2.0
2007, ,2.0
2007,Jacksonville ,2.0
2007,LA Monroe ,1.9
2007,Florida Intl ,1.9
2007, ,1.8
2007,TX-Pan Am ,1.8
2007,Quinnipiac ,1.7
2007,Jksnville St ,1.6
2007,Alaska - Anchorage ,1.6
2007,TX-San Ant ,1.6
2007,Wins-Salem ,1.6
2007,Denver ,1.5
2007,Central Ark ,1.5
2007,Kennesaw St ,1.5
2007,Rob Morris ,1.3
2007,Palm Beach Atlantic ,1.3
2007,TN Martin ,1.3
2007,Campbell ,1.3
2007,Emory ,1.2
2007,Fort Valley State ,1.2
2007,Wagner ,1.1
2007,Marygrove College ,1.1
2007,St Peters ,1.1
2007,Stetson ,1.1
2007,Virginia-Wise ,1.0
2007, ,0.9
2007,E Illinois ,0.9
2007,LIU-Brooklyn ,0.8
2007,St Fran (PA) ,0.8
2007, ,0.8
2007, ,0.8
2007,Morehead St ,0.8
2007,Mercer ,0.8
2007,NJIT ,0.7
2007,Jarvis Christian ,0.7
2007,Longwood ,0.6
2007,Angelo State ,0.3
2007,Hampton ,0.1
2007, ,0.0
2007,Coppin State ,-0.0
2007,Upper Iowa ,-0.1
2007,Colorado-Colorado Springs ,-0.1
2007,Texas State ,-0.1
2007,Florida Tech ,-0.2
2007,Savannah St ,-0.6
2007, ,-0.6
